City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Zalantun,CN,48,122.7167,39.4,96,100,13.76,overcast clouds
297,Chebenki,RU,51.9337,55.7077,46.15,80,100,6.98,overcast clouds
298,Ondangwa,NA,-17.9167,15.95,51.8,40,3,1.14,clear sky
299,Ucluelet,CA,48.9329,-125.5528,57.09,93,100,1.01,overcast clouds
300,Thurso,GB,58.5927,-3.5259,48.45,89,100,22.86,overcast clouds
301,Rodino,RU,52.5,80.25,38.35,64,100,10.85,overcast clouds
302,Pevek,RU,69.7008,170.3133,26.29,85,98,16.26,overcast clouds
303,Neryungri,RU,56.6709,124.6491,35.55,66,73,8.28,broken clouds
304,Upernavik,GL,72.7868,-56.1549,31.35,78,100,9.51,overcast clouds
305,Tateyama,JP,34.9833,139.8667,80.1,71,12,8.25,few clouds
306,Cockburn Town,TC,21.4612,-71.1419,83.25,71,12,17.52,few clouds
307,Kintampo,GH,8.0563,-1.7306,70.95,97,86,4.36,light rain
308,Tocopilla,CL,-22.092,-70.1979,61.11,70,13,7.72,few clouds
309,San Juan,AR,-31.5375,-68.5364,55.72,19,52,14.41,broken clouds
310,Cap-Haitien,HT,19.7578,-72.2042,80.62,78,34,6.96,scattered clouds
311,Fujin,CN,47.26,132.0322,52.95,63,100,19.62,moderate rain
312,Fitchburg,US,42.5834,-71.8023,61.41,88,1,4.61,clear sky
313,Carman,CA,49.4992,-98.0016,57.54,76,0,3.44,clear sky
314,Kruisfontein,ZA,-34.0033,24.7314,46.89,68,75,10.6,broken clouds
315,Yulara,AU,-25.2406,130.9889,76.84,20,0,5.75,clear sky
316,Sumkino,RU,58.1108,68.3244,33.1,78,100,7.94,overcast clouds
317,Coro,VE,11.4045,-69.6734,79.86,85,100,12.3,overcast clouds
318,Kushmurun,KZ,52.4503,64.6311,43.95,65,95,11.81,overcast clouds
319,Kupang,ID,-10.1667,123.5833,85.82,59,23,11.01,few clouds
320,Denpasar,ID,-8.65,115.2167,82.06,74,75,3.44,broken clouds
321,Sabla,NG,12.7525,4.7077,79.83,60,39,5.14,scattered clouds
322,Alice Springs,AU,-23.7,133.8833,80.15,22,0,6.91,clear sky
323,Maningrida,AU,-12.0667,134.2667,89.58,59,37,15.19,scattered clouds
324,Saint-Augustin,CA,51.226,-58.6502,43.25,89,100,8.68,overcast clouds
325,Neiafu,TO,-18.65,-173.9833,75.88,94,90,9.22,overcast clouds
326,Viedma,AR,-40.8135,-62.9967,43.52,54,5,14.85,clear sky
327,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,81,75,4.47,moderate rain
328,Sri Aman,MY,1.2376,111.4621,89.65,70,40,3.44,scattered clouds
329,Quatre Cocos,MU,-20.2078,57.7625,76.08,68,37,14.9,scattered clouds
330,Shingu,JP,33.7333,135.9833,79.79,49,0,7.25,clear sky
331,Dobric,RS,44.7019,19.5814,54.05,65,52,4.68,broken clouds
332,Bengkulu,ID,-3.8004,102.2655,83.34,72,22,5.19,few clouds
333,Port Lincoln,AU,-34.7333,135.8667,61.29,56,9,27.76,clear sky
334,Kropotkin,RU,45.4375,40.5756,50.9,64,70,17.45,broken clouds
335,Sanandaj,IR,35.3144,46.9923,48.22,43,0,4.61,clear sky
336,Santa Rosa,PH,14.3122,121.1114,87.78,78,100,7.45,overcast clouds
337,Port-Gentil,GA,-0.7193,8.7815,77.36,86,97,12.53,light rain
338,Biga,TR,40.2281,27.2422,63.05,65,97,12.1,overcast clouds
339,Tura,IN,25.5198,90.2201,79.18,89,52,4.83,broken clouds
340,Vardo,NO,70.3705,31.1107,47.3,85,100,26.8,overcast clouds
341,College,US,64.8569,-147.8028,34.59,95,90,4.61,light snow
342,Xichang,CN,27.8964,102.2634,76.91,63,4,3.74,clear sky
343,Hammerfest,NO,70.6634,23.6821,54.05,66,0,14.97,clear sky
344,Thanh Hoa,VN,19.8,105.7667,87.91,58,80,5.61,broken clouds
345,Egvekinot,RU,66.3167,-179.1667,18.84,95,91,3.96,light snow
346,Pisco,PE,-13.7,-76.2167,62.65,82,75,9.22,broken clouds
347,Calama,CL,-22.4667,-68.9333,50.49,23,0,4.99,clear sky
348,Half Moon Bay,US,37.4636,-122.4286,77,54,1,0,clear sky
